Experimental Tm Analysis,,,,,,,,,,
,,,,,,,,,,
Instrument Name:,,,DU 800 Spectrophotometer,,,,,,,
Serial Number:,,,8001246,,,,,,,
Software Version:,,,"2.0,  Build 83",,,,,,,
Firmware Version:,,,2.0.081,,,,,,,
Method Name:,,,HP3,,,,,,,
Organization:,,,,,,,,,,
Department:,,,,,,,,,,
Operator:,,,,,,,,,,
Product Name:,,,,,,,,,,
Component Name:,,,,,,,,,,
Lot Number:,,,,,,,,,,
Comment:,,,,,,,,,,
Signature 1:,,,,,,,,,,
Signature 2:,,,,,,,,,,
Signature 3:,,,,,,,,,,
Signature 4:,,,,,,,,,,
Signature 5:,,,,,,,,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap3s Melt 1 022007.dux,,,,,,,
Date Acquired:,,,"February 20, 2007 9:16 AM",,,,,,,
,,,,,,,,,,
Analytical Wavelength:,,,280.0 nm,,,,,,,
Second Wavelength:,,,280.0 nm,,,,,,,
Use of 2nd WL:,,,None,,,,,,,
Calc Mode:,,,First Derivative,,,,,,,
31.2,,0.0064,,1.5517,,1.7639,,0.7266,,
31.7,,0.0069,,1.5544,,1.7661,,0.728,,
32.2,,0.0072,,1.5598,,1.7727,,0.7299,,
32.5,,0.0073,,1.5652,,1.7771,,0.7315,,
33.1,,0.0074,,1.5708,,1.7793,,0.7327,,
33.5,,0.0074,,1.5778,,1.7884,,0.7347,,
34,,0.0073,,1.5835,,1.7954,,0.7363,,
34.5,,0.0074,,1.5878,,1.7977,,0.7382,,
35,,0.0075,,1.5951,,1.8025,,0.7394,,
35.5,,0.0074,,1.5995,,1.8096,,0.7408,,
36,,0.0075,,1.6055,,1.8145,,0.7427,,
36.5,,0.0075,,1.6131,,1.8219,,0.7435,,
36.9,,0.0075,,1.6209,,1.8244,,0.7456,,
37.5,,0.0075,,1.6272,,1.8294,,0.7462,,
37.9,,0.0075,,1.6319,,1.837,,0.7479,,
38.5,,0.0076,,1.64,,1.8422,,0.7491,,
38.9,,0.0075,,1.6466,,1.8448,,0.7504,,
39.5,,0.0075,,1.655,,1.8501,,0.7521,,
39.9,,0.0076,,1.6618,,1.8581,,0.7532,,
40.4,,0.0076,,1.667,,1.8608,,0.7546,,
40.9,,0.0076,,1.6722,,1.8662,,0.7563,,
41.4,,0.0076,,1.6793,,1.8718,,0.7574,,
41.9,,0.0076,,1.6865,,1.8718,,0.7585,,
42.4,,0.0076,,1.692,,1.8774,,0.7596,,
43,,0.0077,,1.6994,,1.8802,,0.7611,,
43.4,,0.0076,,1.707,,1.8859,,0.7624,,
43.9,,0.0075,,1.7127,,1.8946,,0.7634,,
44.4,,0.0075,,1.7166,,1.8917,,0.7647,,
44.9,,0.0076,,1.7245,,1.9006,,0.7661,,
45.4,,0.0075,,1.7305,,1.9035,,0.7674,,
45.9,,0.0075,,1.7386,,1.9065,,0.7682,,
46.4,,0.0075,,1.7448,,1.9126,,0.7696,,
46.9,,0.0075,,1.7489,,1.9096,,0.7707,,
47.4,,0.0075,,1.7553,,1.9157,,0.772,,
47.9,,0.0074,,1.7166,,1.9188,,0.7729,,
48.4,,0.0075,,1.7225,,1.925,,0.7744,,
48.9,,0.0075,,1.7265,,1.9282,,0.7751,,
49.4,,0.0075,,1.7284,,1.9346,,0.7767,,
49.9,,0.0074,,1.7345,,1.9411,,0.7778,,
50.4,,0.0074,,1.7406,,1.9411,,0.7787,,
50.9,,0.0074,,1.7448,,1.9443,,0.78,,
51.4,,0.0074,,1.7489,,1.9476,,0.7812,,
51.9,,0.0074,,1.751,,1.951,,0.7825,,
52.4,,0.0073,,1.7574,,1.9577,,0.7843,,
52.9,,0.0073,,1.7617,,1.9577,,0.7848,,
53.4,,0.0073,,1.7661,,1.9611,,0.7864,,
53.8,,0.0073,,1.7704,,1.9611,,0.7873,,
54.4,,0.0073,,1.7771,,1.968,,0.7887,,
54.8,,0.0073,,1.7816,,1.975,,0.7901,,
55.3,,0.0073,,1.7816,,1.975,,0.7914,,
55.8,,0.0073,,1.7884,,1.975,,0.7926,,
56.3,,0.0072,,1.7931,,1.9785,,0.7938,,
56.9,,0.0072,,1.7954,,1.9821,,0.7952,,
57.3,,0.0071,,1.7977,,1.9857,,0.7966,,
57.8,,0.0071,,1.8025,,1.993,,0.798,,
58.3,,0.0071,,1.8072,,1.9894,,0.7994,,
58.8,,0.0071,,1.8121,,2.0004,,0.8006,,
59.2,,0.0071,,1.8121,,2.0004,,0.8017,,
59.8,,0.0072,,1.8219,,2.0042,,0.8036,,
60.3,,0.0071,,1.8244,,2.0118,,0.8046,,
60.8,,0.0071,,1.8294,,2.0157,,0.8063,,
61.3,,0.007,,1.8319,,2.0235,,0.8077,,
61.8,,0.0071,,1.837,,2.0235,,0.8087,,
62.3,,0.007,,1.8422,,2.0275,,0.8106,,
62.8,,0.007,,1.8422,,2.0315,,0.8118,,
63.3,,0.0069,,1.8448,,2.0355,,0.8135,,
63.9,,0.0069,,1.8501,,2.0396,,0.8152,,
64.2,,0.007,,1.8554,,2.0437,,0.8167,,
64.8,,0.0069,,1.8581,,2.0521,,0.8177,,
65.3,,0.007,,1.8635,,2.0606,,0.8201,,
65.8,,0.007,,1.869,,2.0649,,0.8211,,
66.3,,0.007,,1.8774,,2.0649,,0.8229,,
66.8,,0.007,,1.8774,,2.0737,,0.8244,,
67.3,,0.0069,,1.8802,,2.0781,,0.8266,,
67.7,,0.0069,,1.8859,,2.0872,,0.8284,,
68.2,,0.0069,,1.8917,,2.0872,,0.8296,,
68.7,,0.0069,,1.9006,,2.0918,,0.8319,,
69.2,,0.0069,,1.9006,,2.1059,,0.8337,,
69.7,,0.0069,,1.9065,,2.1059,,0.8357,,
70.2,,0.0069,,1.9126,,2.1059,,0.8378,,
70.8,,0.0069,,1.9126,,2.1204,,0.8396,,
71.2,,0.0069,,1.925,,2.1254,,0.8409,,
71.7,,0.0069,,1.925,,2.1304,,0.8427,,
72.2,,0.0068,,1.9282,,2.1355,,0.8461,,
72.7,,0.0069,,1.9378,,2.1406,,0.8485,,
73.1,,0.0069,,1.9411,,2.1511,,0.8503,,
73.7,,0.0069,,1.9476,,2.1564,,0.8527,,
74.2,,0.0069,,1.9476,,2.1618,,0.8546,,
74.7,,0.0068,,1.9577,,2.1728,,0.8557,,
75.2,,0.0069,,1.9611,,2.1784,,0.8586,,
75.6,,0.0069,,1.9645,,2.1841,,0.8605,,
76.1,,0.0069,,1.975,,2.1898,,0.8624,,
76.6,,0.0069,,1.9785,,2.1898,,0.8652,,
77.1,,0.0069,,1.9821,,2.2016,,0.8671,,
77.6,,0.007,,1.9894,,2.2136,,0.869,,
78,,0.0069,,1.9967,,2.2198,,0.8712,,
78.6,,0.0069,,2.008,,2.2261,,0.8735,,
79.1,,0.0069,,2.008,,2.2388,,0.8749,,
79.6,,0.007,,2.0118,,2.2388,,0.8771,,
80.2,,0.007,,2.0235,,2.252,,0.8794,,
80.6,,0.007,,2.0315,,2.252,,0.8816,,
81.1,,0.007,,2.0315,,2.2656,,0.8836,,
81.6,,0.0071,,2.0437,,2.2725,,0.8856,,
82.1,,0.007,,2.0437,,2.2725,,0.8874,,
82.5,,0.0071,,2.0521,,2.2868,,0.8894,,
83,,0.0071,,2.0563,,2.2941,,0.8906,,
83.5,,0.0071,,2.0606,,2.3015,,0.8923,,
84.1,,0.0071,,2.0649,,2.309,,0.8935,,
84.6,,0.0072,,2.0737,,2.309,,0.8952,,
85.2,,0.0072,,2.0737,,2.3245,,0.8967,,
85.6,,0.0072,,2.0781,,2.3406,,0.8982,,
86,,0.0072,,2.0826,,2.3325,,0.8994,,
86.5,,0.0072,,2.0918,,2.3489,,0.9006,,
87,,0.0073,,2.0964,,2.3573,,0.902,,
87.5,,0.0073,,2.1011,,2.3747,,0.9032,,
88,,0.0074,,2.1011,,2.3837,,0.9044,,
88.5,,0.0074,,2.1107,,2.3837,,0.9059,,
89,,0.0074,,2.1155,,2.3837,,0.9062,,
89.5,,0.0075,,2.1254,,2.4021,,0.9075,,
90,,0.0075,,2.1254,,2.4021,,0.9084,,
90.4,,0.0075,,2.1304,,2.4215,,0.909,,
90.9,,0.0076,,2.1355,,2.4215,,0.9114,,
91.4,,0.0076,,2.1406,,2.4314,,0.9114,,
91.8,,0.0075,,2.1458,,2.4314,,0.9126,,
92.3,,0.0076,,2.1511,,2.4417,,0.9135,,
92.6,,0.0075,,2.1511,,2.4417,,0.9135,,
93.2,,0.0077,,2.1618,,2.4628,,0.9151,,
93.3,,0.0078,,2.1673,,2.4521,,0.9157,,
93.4,,0.0078,,2.1673,,2.4628,,0.916,,
93.6,,0.0078,,2.1784,,2.4851,,0.9169,,
93.9,,0.0079,,2.1784,,2.4967,,0.9175,,
94.4,,0.0079,,2.1898,,2.4967,,0.9185,,
94.7,,0.0079,,2.1898,,2.4967,,0.92,,
95.5,,0.008,,2.1898,,2.5208,,0.9203,,
95.8,,0.008,,2.1957,,2.5334,,0.921,,
96.4,,0.008,,2.2076,,2.5334,,0.9222,,
96.7,,0.0081,,2.2136,,2.5334,,0.9228,,
97.2,,0.0082,,2.2198,,2.5735,,0.9241,,
97.8,,0.0083,,2.2261,,2.5735,,0.925,,
98.3,,0.0083,,2.2324,,2.5735,,0.926,,
98.6,,0.0083,,2.2388,,2.6025,,0.9272,,
99.3,,0.0084,,2.2454,,2.6025,,0.9279,,
99.8,,0.0085,,2.2454,,2.6177,,0.9288,,
100.1,,0.0086,,2.2656,,2.6499,,0.9304,,
100.6,,0.0087,,2.2725,,2.6499,,0.932,,
101,,0.0088,,2.2796,,2.6847,,0.932,,
101.3,,0.0088,,2.2941,,2.7032,,0.9333,,
101.7,,0.0088,,2.3015,,2.7225,,0.9333,,
101.9,,0.0089,,2.3015,,2.6847,,0.9339,,
102.1,,0.0089,,2.309,,2.7427,,0.9346,,
102.2,,0.0091,,2.309,,2.7225,,0.9355,,
102.4,,0.0091,,2.3325,,2.7639,,0.9355,,
102.4,,0.0093,,2.3489,,2.8096,,0.9378,,
102.6,,0.0094,,2.3573,,2.8096,,0.9378,,
,,,,,,,,,,
CORRECTED ABSORBANCES @ 280.0 nm,,,,,,,,,,
  ,,,,,,,,,,
Temp,,Cell 2,,Cell 3,,Cell 4,,,,
(�C),,Abs,,Abs,,Abs,,,,
 ,, ,, ,, ,,,,
30,,1.5308,,1.7442,,0.7161,,,,
30.3,,1.5329,,1.7466,,0.7169,,,,
30.8,,1.5393,,1.7516,,0.7185,,,,
31.2,,1.5452,,1.7574,,0.7202,,,,
31.7,,1.5474,,1.7591,,0.7211,,,,
32.2,,1.5526,,1.7654,,0.7226,,,,
32.5,,1.5579,,1.7698,,0.7241,,,,
33.1,,1.5634,,1.772,,0.7253,,,,
33.5,,1.5704,,1.7811,,0.7273,,,,
34,,1.5761,,1.7881,,0.729,,,,
34.5,,1.5804,,1.7903,,0.7308,,,,
35,,1.5876,,1.795,,0.7319,,,,
35.5,,1.5922,,1.8023,,0.7335,,,,
36,,1.598,,1.8069,,0.7351,,,,
36.5,,1.6056,,1.8143,,0.736,,,,
36.9,,1.6133,,1.8168,,0.738,,,,
37.5,,1.6196,,1.8219,,0.7387,,,,
37.9,,1.6244,,1.8295,,0.7403,,,,
38.5,,1.6324,,1.8346,,0.7416,,,,
38.9,,1.6391,,1.8373,,0.7429,,,,
39.5,,1.6475,,1.8426,,0.7446,,,,
39.9,,1.6542,,1.8505,,0.7456,,,,
40.4,,1.6593,,1.8532,,0.747,,,,
40.9,,1.6646,,1.8587,,0.7488,,,,
41.4,,1.6717,,1.8642,,0.7498,,,,
41.9,,1.6789,,1.8642,,0.7509,,,,
42.4,,1.6844,,1.8698,,0.752,,,,
43,,1.6918,,1.8726,,0.7534,,,,
43.4,,1.6994,,1.8783,,0.7548,,,,
43.9,,1.7052,,1.8871,,0.7559,,,,
44.4,,1.7091,,1.8842,,0.7572,,,,
44.9,,1.7169,,1.893,,0.7585,,,,
45.4,,1.723,,1.8961,,0.7599,,,,
