Sample,Pathlength,Temperature,Absorbance, ,, ,, 
3,0.5,66.5,0.7566,,,,,
3,0.5,67,0.7563,,,,,
3,0.5,67.5,0.7563,,,,,
3,0.5,68,0.757,,,,,
3,0.5,68.5,0.7572,,,,,
3,0.5,69,0.7577,,,,,
3,0.5,69.5,0.7579,,,,,
3,0.5,69.9,0.7584,,,,,
3,0.5,70.5,0.7586,,,,,
3,0.5,70.9,0.7588,,,,,
3,0.5,71.5,0.7588,,,,,
3,0.5,72,0.7593,,,,,
3,0.5,72.5,0.7595,,,,,
3,0.5,73,0.76,,,,,
3,0.5,73.4,0.76,,,,,
3,0.5,74.1,0.7602,,,,,
3,0.5,74.4,0.7609,,,,,
3,0.5,74.9,0.7611,,,,,
3,0.5,75.4,0.7616,,,,,
3,0.5,75.9,0.7618,,,,,
3,0.5,76.6,0.7623,,,,,
3,0.5,76.9,0.7632,,,,,
3,0.5,77.4,0.7634,,,,,
3,0.5,77.8,0.7639,,,,,
3,0.5,78.4,0.7644,,,,,
3,0.5,78.8,0.7648,,,,,
3,0.5,79.5,0.7658,,,,,
3,0.5,79.9,0.766,,,,,
3,0.5,80.4,0.7662,,,,,
3,0.5,80.8,0.7669,,,,,
3,0.5,81.4,0.7669,,,,,
3,0.5,81.8,0.7678,,,,,
3,0.5,82.5,0.7681,,,,,
3,0.5,82.9,0.7688,,,,,
3,0.5,83.4,0.769,,,,,
3,0.5,83.8,0.7699,,,,,
3,0.5,84.3,0.7704,,,,,
3,0.5,84.8,0.7711,,,,,
3,0.5,85.2,0.7721,,,,,
3,0.5,85.8,0.7737,,,,,
3,0.5,86.3,0.7749,,,,,
3,0.5,86.8,0.7775,,,,,
3,0.5,87.2,0.7782,,,,,
3,0.5,87.8,0.777,,,,,
3,0.5,88.3,0.778,,,,,
3,0.5,88.7,0.7782,,,,,
3,0.5,89.5,0.7787,,,,,
4,1,11,0.3341,,,,,
4,1,11.3,0.3341,,,,,
4,1,11.8,0.3341,,,,,
4,1,12.2,0.3342,,,,,
4,1,12.7,0.3342,,,,,
4,1,13.1,0.3343,,,,,
4,1,13.6,0.3344,,,,,
4,1,14.1,0.3346,,,,,
4,1,14.6,0.3348,,,,,
4,1,15.1,0.3348,,,,,
4,1,15.6,0.335,,,,,
4,1,16,0.335,,,,,
4,1,16.5,0.3353,,,,,
4,1,17,0.3355,,,,,
4,1,17.5,0.3356,,,,,
4,1,18,0.3357,,,,,
4,1,18.5,0.336,,,,,
4,1,19,0.3362,,,,,
4,1,19.5,0.3364,,,,,
4,1,20,0.3365,,,,,
4,1,20.5,0.3369,,,,,
4,1,21,0.3371,,,,,
4,1,21.5,0.3373,,,,,
4,1,22,0.3375,,,,,
4,1,22.5,0.3378,,,,,
4,1,23,0.3381,,,,,
4,1,23.5,0.3384,,,,,
4,1,24,0.3388,,,,,
4,1,24.5,0.3391,,,,,
4,1,25,0.3396,,,,,
4,1,25.5,0.3399,,,,,
4,1,26,0.3403,,,,,
4,1,26.4,0.3407,,,,,
4,1,26.8,0.341,,,,,
4,1,27.2,0.3415,,,,,
4,1,27.6,0.3418,,,,,
4,1,28.1,0.3424,,,,,
4,1,28.6,0.343,,,,,
4,1,29,0.3434,,,,,
4,1,29.5,0.344,,,,,
4,1,30,0.3446,,,,,
4,1,30.5,0.3452,,,,,
4,1,31,0.3459,,,,,
4,1,31.4,0.3466,,,,,
4,1,31.9,0.3473,,,,,
4,1,32.5,0.3481,,,,,
4,1,32.9,0.349,,,,,
4,1,33.4,0.3495,,,,,
4,1,33.9,0.3503,,,,,
4,1,34.4,0.351,,,,,
4,1,34.9,0.352,,,,,
4,1,35.4,0.3528,,,,,
4,1,35.9,0.3536,,,,,
4,1,36.3,0.3546,,,,,
4,1,36.8,0.3554,,,,,
4,1,37.3,0.3562,,,,,
4,1,37.7,0.3569,,,,,
4,1,38.2,0.3578,,,,,
